Yelp Category,LOD Resource name,LOD Resource URL
Car Dealers,Car_dealership,http://dbpedia.org/resource/Car_dealership
Car Rental,Car_rental,http://dbpedia.org/resource/Car_rental
Car Stereo Installation,Vehicle_audio,http://dbpedia.org/resource/Vehicle_audio
Car Wash,Car_wash,http://dbpedia.org/resource/Car_wash
Caribbean,Caribbean_cuisine,http://dbpedia.org/resource/Caribbean_cuisine
Carpet Cleaning,Carpet_cleaning,http://dbpedia.org/resource/Carpet_cleaning
Casinos,Casino,http://dbpedia.org/resource/Casino
Caterers,Catering,http://dbpedia.org/resource/Catering
Champagne Bars,Bar,http://dbpedia.org/resource/Bar
Champagne Bars,Champagne,http://dbpedia.org/resource/Champagne
Cheese Shops,Cheese,http://dbpedia.org/resource/Cheese
Cheese Shops,Shopping,http://dbpedia.org/resource/Shopping
Cheesesteaks,Cheesesteak,http://dbpedia.org/resource/Cheesesteak
Chicken Shop,Fried_chicken_restaurant,http://dbpedia.org/resource/Fried_chicken_restaurant
Chicken Wings,Buffalo_wing,http://dbpedia.org/resource/Buffalo_wing
Child Care & Day Care,Child_care,http://dbpedia.org/resource/Child_care
Child Care & Day Care,Day_care,http://dbpedia.org/resource/Day_care
Chinese,Chinese_cuisine,http://dbpedia.org/resource/Chinese_cuisine
Chiropractors,Chiropractic,http://dbpedia.org/resource/Chiropractic
Chocolatiers & Shops,Chocolaterie,http://dbpedia.org/resource/Chocolaterie
Churches,Christian_Church,http://dbpedia.org/resource/Christian_Church
Cinema,Movie_theater,http://dbpedia.org/resource/Movie_theater
Climbing,Climbing,http://dbpedia.org/resource/Climbing
Cocktail Bars,Bar,http://dbpedia.org/resource/Bar
Coffee & Tea,Coffea,http://dbpedia.org/resource/Coffea
Coffee & Tea,Tea,http://dbpedia.org/resource/Tea
Coffee & Tea Supplies,Coffea,http://dbpedia.org/resource/Coffea
Coffee & Tea Supplies,Tea,http://dbpedia.org/resource/Tea
Coffee Roasteries,Coffea,http://dbpedia.org/resource/Coffea
Colleges & Universities,College,http://dbpedia.org/resource/College
Colleges & Universities,University,http://dbpedia.org/resource/University
Comedy Clubs,Comedy_club,http://dbpedia.org/resource/Comedy_club
Comfort Food,Comfort_food,http://dbpedia.org/resource/Comfort_food
Comic Books,Comic_book,http://dbpedia.org/resource/Comic_book
Commercial Truck Dealers,Truck,http://dbpedia.org/resource/Truck
Commercial Truck Repair,"Maintenance,_repair,_and_operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Commercial Truck Repair,Truck,http://dbpedia.org/resource/Truck
Community Service/Non-Profit,Community_service,http://dbpedia.org/resource/Community_service
Community Service/Non-Profit,Nonprofit_organization,http://dbpedia.org/resource/Nonprofit_organization
Computers,Computer,http://dbpedia.org/resource/Computer
Contractors,General_contractor,http://dbpedia.org/resource/General_contractor
Convenience Stores,Convenience_store,http://dbpedia.org/resource/Convenience_store
Cosmetic Dentists,Cosmetic_dentistry,http://dbpedia.org/resource/Cosmetic_dentistry
Cosmetics & Beauty Supply,Cosmetics,http://dbpedia.org/resource/Cosmetics
Cosmetology Schools,Cosmetology,http://dbpedia.org/resource/Cosmetology
Cosmetology Schools,School,http://dbpedia.org/resource/School
Costumes,Costume,http://dbpedia.org/resource/Costume
Creperies,Crêpe,http://dbpedia.org/resource/Crêpe
Cuban,Cuban_cuisine,http://dbpedia.org/resource/Cuban_cuisine
Cupcakes,Cupcake,http://dbpedia.org/resource/Cupcake
Damage Restoration,Fabric_restoration,http://dbpedia.org/resource/Fabric_restoration
Dance Clubs,Nightclub,http://dbpedia.org/resource/Nightclub
Dance Schools,Dance,http://dbpedia.org/resource/Dance
