Yelp Category,LOD Resource
Cocktail Bars,http://dbpedia.org/resource/Bar
Coffee & Tea,http://dbpedia.org/resource/Coffea
Coffee & Tea,http://dbpedia.org/resource/Tea
Coffee & Tea Supplies,http://dbpedia.org/resource/Coffea
Coffee & Tea Supplies,http://dbpedia.org/resource/Tea
Coffee Roasteries,http://dbpedia.org/resource/Coffea
Colleges & Universities,http://dbpedia.org/resource/College
Colleges & Universities,http://dbpedia.org/resource/University
Comedy Clubs,http://dbpedia.org/resource/Comedy_club
Comfort Food,http://dbpedia.org/resource/Comfort_food
Comic Books,http://dbpedia.org/resource/Comic_book
Commercial Truck Dealers,http://dbpedia.org/resource/Truck
Commercial Truck Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Commercial Truck Repair,http://dbpedia.org/resource/Truck
Community Service/Non-Profit,http://dbpedia.org/resource/Community_service
Community Service/Non-Profit,http://dbpedia.org/resource/Nonprofit_organization
Computers,http://dbpedia.org/resource/Computer
Contractors,http://dbpedia.org/resource/General_contractor
Convenience Stores,http://dbpedia.org/resource/Convenience_store
Cosmetic Dentists,http://dbpedia.org/resource/Cosmetic_dentistry
Cosmetics & Beauty Supply,http://dbpedia.org/resource/Cosmetics
Cosmetology Schools,http://dbpedia.org/resource/Cosmetology
Cosmetology Schools,http://dbpedia.org/resource/School
Costumes,http://dbpedia.org/resource/Costume
Creperies,http://dbpedia.org/resource/Crêpe
Cuban,http://dbpedia.org/resource/Cuban_cuisine
Cupcakes,http://dbpedia.org/resource/Cupcake
Damage Restoration,http://dbpedia.org/resource/Fabric_restoration
Dance Clubs,http://dbpedia.org/resource/Nightclub
Dance Schools,http://dbpedia.org/resource/Dance
Dance Schools,http://dbpedia.org/resource/School
Day Spas,http://dbpedia.org/resource/Day_spa
Delicatessen,http://dbpedia.org/resource/Delicatessen
Delis,http://dbpedia.org/resource/Delicatessen
Dentists,http://dbpedia.org/resource/Dentist
Department Stores,http://dbpedia.org/resource/Department_store
Departments of Motor Vehicles,http://dbpedia.org/resource/Department_of_Motor_Vehicles
Dermatologists,http://dbpedia.org/resource/Dermatology
Desserts,http://dbpedia.org/resource/Dessert
Diagnostic Imaging,http://dbpedia.org/resource/Medical_imaging
Diagnostic Services,http://dbpedia.org/resource/Medical_test
Dim Sum,http://dbpedia.org/resource/Dim_sum
Diners,http://dbpedia.org/resource/Diner
Disc Golf,http://dbpedia.org/resource/Disc_golf
Discount Store,http://dbpedia.org/resource/Discount_store
Distilleries,http://dbpedia.org/resource/Distilled_beverage
Dive Bars,http://dbpedia.org/resource/Dive_bar
Doctors,http://dbpedia.org/resource/Physician
Dog Parks,http://dbpedia.org/resource/Dog_park
Do-It-Yourself Food,http://dbpedia.org/resource/Do_it_yourself
Do-It-Yourself Food,http://dbpedia.org/resource/Food
Donuts,http://dbpedia.org/resource/Doughnut
Drive-In Theater,http://dbpedia.org/resource/Drive_in_theater
Drugstores,http://dbpedia.org/resource/Drugstore
Dry Cleaning & Laundry,http://dbpedia.org/resource/Dry_cleaning
Dry Cleaning & Laundry,http://dbpedia.org/resource/Laundry
Ear Nose & Throat,http://dbpedia.org/resource/Otorhinolaryngology
Education,http://dbpedia.org/resource/Education
Educational Services,http://dbpedia.org/resource/Education
Electronics,http://dbpedia.org/resource/Electronics
Electronics Repair,http://dbpedia.org/resource/Electronics
Electronics Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Emergency Rooms,http://dbpedia.org/resource/Emergency_department
Escape Games,http://dbpedia.org/resource/Real_life_room_escape
Ethiopian,http://dbpedia.org/resource/Ethiopian_cuisine
Event Planning & Services,http://dbpedia.org/resource/Event_management
Eyelash Service,http://dbpedia.org/resource/Eyelash_extensions
Eyewear & Opticians,http://dbpedia.org/resource/Eyewear
Eyewear & Opticians,http://dbpedia.org/resource/Optician
Fabric Stores,http://dbpedia.org/resource/Retail
Fabric Stores,http://dbpedia.org/resource/Textile
Family Practice,http://dbpedia.org/resource/Family_medicine
Farms,http://dbpedia.org/resource/Farm
Fashion,http://dbpedia.org/resource/Fashion
Fast Food,http://dbpedia.org/resource/Fast_food
Fences & Gates,http://dbpedia.org/resource/Fence
Fences & Gates,http://dbpedia.org/resource/Gate
Festivals,http://dbpedia.org/resource/Festival
Filipino,http://dbpedia.org/resource/Philippine_cuisine
Financial Advising,http://dbpedia.org/resource/Financial_adviser
Financial Services,http://dbpedia.org/resource/Financial_services
Fish & Chips,http://dbpedia.org/resource/Fish_and_chips
Fitness & Instruction,http://dbpedia.org/resource/Fitness_professional
Float Spa,http://dbpedia.org/resource/Spa
Flooring,http://dbpedia.org/resource/Flooring
Florists,http://dbpedia.org/resource/Floristry
Flowers & Gifts,http://dbpedia.org/resource/Floristry
Fondue,http://dbpedia.org/resource/Fondue
Food,http://dbpedia.org/resource/Food
Food Delivery Services,http://dbpedia.org/resource/Food
Food Stands,http://dbpedia.org/resource/Food_booth
Food Tours,http://dbpedia.org/resource/Culinary_tourism
Food Trucks,http://dbpedia.org/resource/Food_truck
French,http://dbpedia.org/resource/French_cuisine
Fruits & Veggies,http://dbpedia.org/resource/Fruit
Fruits & Veggies,http://dbpedia.org/resource/Vegetable
Furniture Reupholstery,http://dbpedia.org/resource/Furniture
Furniture Stores,http://dbpedia.org/resource/Furniture
Furniture Stores,http://dbpedia.org/resource/Retail
Gas & Service Stations,http://dbpedia.org/resource/Filling_station
Gastropubs,http://dbpedia.org/resource/Gastropub
Gelato,http://dbpedia.org/resource/Gelato
